,date,value,action,reward,balance,coin
270,,98076350.39023018,0.0,0.03824819554586087,122595438.29448515,-1.164304458785201
271,,98082754.37145093,5.0,-0.035623530529438334,122595438.29448515,-1.164304458785201
272,,98082172.21922153,6.0,-0.11438087774294778,73556725.78350314,1.1646500928472205
273,,98078433.48840137,1.0,-0.33562455473747166,147110294.14015713,-2.329100771512737
274,,98069912.8455707,7.0,0.1358463346868071,49025148.889013626,2.3288431252064945
275,,98075242.79211281,1.0,-0.08632371094864412,147103055.4166393,-2.3282509446423134
276,,98072418.77341682,1.0,-0.33561778811907067,147098821.47552225,-2.328515569908752
277,,98061447.83102888,7.0,-0.4780490989814327,49020917.10575846,2.328199810798663
278,,98045820.5217459,7.0,-0.2643859524150397,49013105.47950527,2.3281051555716843
279,,98037179.79295601,7.0,0.07645435118113691,49008785.630057015,2.327844705994444
280,,98040178.672418,6.0,-0.09659414613302403,73522779.86054245,1.1636540221290652
281,,98034570.00968014,7.0,-0.33560136722920497,49009932.09732467,2.327009186301126
282,,98026053.59757158,1.0,-0.40682800037978734,147029277.48152748,-2.3268622673179733
283,,98012760.38934071,0.0,-0.41705098383616573,122518401.81937537,-1.1631905294123177
284,,98006487.7930696,5.0,-0.49826792578185,122518401.81937537,-1.1631905294123177
285,,97998345.45936371,10.0,-2.653804554079919,-196028542.42800122,13.946633604273774
286,,97938600.68288141,1.0,-0.44234272701381744,146873607.37997693,-2.323242259295982
287,,97899660.55401763,1.0,-1.1539753320681074,146839698.45331615,-2.322098210484289
288,,97862002.99778153,5.0,-0.39114356153984997,146839698.45331615,-2.322098210484289
289,,97874774.53793919,1.0,-0.2644286628886546,146802371.57579035,-2.320792320630242
290,,97866144.70298105,1.0,-0.2644278194062967,146789430.12454915,-2.3206427179877895
291,,97857518.09441762,0.0,-0.18557302411603324,122324344.37127268,-1.1602465923788576
292,,97858804.6010759,1.0,0.04642780926181946,146780867.40740678,-2.3204136438260474
293,,97863067.17508796,1.0,-0.9404359272345545,146784815.82924998,-2.3210650849106553
294,,97832392.6559418,5.0,-0.6400986226026,146784815.82924998,-2.3210650849106553
295,,97853282.241706,1.0,-0.3,146770137.54508817,-2.3208330109742192
296,,97843496.42423517,0.0,-0.1322101131323345,122306817.10699543,-1.1603004580347125
297,,97846523.15116566,0.0,-0.6659189554575219,122308153.80527389,-1.1603638721024343
298,,97829697.74133699,0.0,-0.18555616126661797,122287124.27983409,-1.1593668998286006
299,,97828540.47760002,3.0,-1.2,293463609.8663243,-9.274385843869839
300,,97806528.91112426,7.0,-1.2242315075959507,48878808.421021044,2.3180747733302742
301,,97751937.90452988,1.0,-0.3,146618131.94695124,-2.318209450625605
302,,97742162.9946863,5.0,-0.07114568264288135,146618131.94695124,-2.318209450625605
303,,97744481.20413694,7.0,0.07606723585916561,48862466.01293397,2.3181425638358104
304,,97747456.39910354,1.0,-0.6556880690439293,146611408.72679675,-2.3176085071866352
305,,97726092.48470905,1.0,0.22413833973356406,146579363.89081514,-2.316552706696749
306,,97734850.0701142,5.0,-0.03557031064727045,146579363.89081514,-2.316552706696749
307,,97733691.79376084,0.0,-0.452370704986719,122169555.96711594,-1.1587784472002185
308,,97726283.40187453,6.0,-0.5232915758034556,73289825.06706433,1.1582237058153328
309,,97709234.5686219,1.0,-1.3317155595607322,146556524.45025426,-2.3171967312975053
310,,97668307.8133395,1.0,-1.3665584415583878,146492689.4829549,-2.3146342737069747
311,,97623816.06217954,6.0,-0.007921659641011396,73210534.56389101,1.1559680772767909
312,,97621112.451745,1.0,-0.6907195624376888,146424346.56420612,-2.3114342106299426
